material_id,disposal_method,carbon_factor_kg_co2_per_kg
coffee_grounds,landfill,0.75
coffee_grounds,incineration,0.40
coffee_grounds,composting,0.10
coffee_grounds,mushroom_farming,-0.85
coffee_grounds,bio_pellets,-0.65
sawdust,landfill,0.80
sawdust,incineration,0.50
sawdust,particle_board,-0.90
sawdust,wood_pellets,-0.70
textile_scraps,landfill,1.20
textile_scraps,incineration,0.80
textile_scraps,shoddy_fiber,-1.50
plastic_scrap,landfill,1.80
plastic_scrap,incineration,2.20
plastic_scrap,plastic_pellets,-2.10
glass_waste,landfill,0.20
glass_waste,incineration,0.10
glass_waste,cullet_smelting,-0.35
metal_scrap,landfill,0.50
metal_scrap,incineration,0.20
metal_scrap,scrap_smelting,-2.80
food_waste,landfill,0.90
food_waste,incineration,0.45
food_waste,composting,0.15
food_waste,biogas_digestion,-1.10
construction_debris,landfill,0.15
construction_debris,aggregate_recycling,-0.25
agricultural_waste,landfill,0.70
agricultural_waste,incineration,0.35
agricultural_waste,composting,0.12
agricultural_waste,bioethanol_production,-0.95
